,Ranking,Country,Crime Index,2021 Population
1,1,Venezuela,83.76,"28,704,954"
2,2,Papua New Guinea,80.79,"9,119,010"
3,3,South Africa,76.86,"60,041,994"
4,4,Afghanistan,76.31,"39,835,428"
5,5,Honduras,74.54,"10,062,991"
6,6,Trinidad And Tobago,71.63,"1,403,375"
7,7,Guyana,68.74,"790,326"
8,8,El Salvador,67.79,"6,518,499"
9,9,Brazil,67.49,"213,993,437"
10,10,Jamaica,67.42,"2,973,463"
11,11,Syria,67.18,"18,275,702"
12,12,Peru,66.72,"33,359,418"
13,13,Angola,66.48,"33,933,610"
14,14,Cameroon,65.24,"27,224,265"
15,15,Namibia,65.21,"2,587,344"
16,16,Nigeria,64.06,"211,400,708"
17,17,Bangladesh,63.9,"166,303,498"
18,18,Argentina,63.82,"45,605,826"
19,19,Puerto Rico,62.84,"2,828,255"
20,20,Bahamas,62.06,"396,913"
21,21,Libya,61.78,"6,958,532"
22,22,Dominican Republic,61.02,"10,953,703"
23,23,Kenya,60.14,"54,985,698"
24,24,Belarus,59.58,"9,442,862"
25,25,Zimbabwe,59.3,"15,092,171"
26,26,Guatemala,58.67,"18,249,860"
27,27,Bolivia,57.77,"11,832,940"
28,28,Fiji,57.62,"902,906"
29,29,Malaysia,57.29,"32,776,194"
30,30,Kyrgyzstan,56.87,"6,628,356"
31,31,Colombia,56.87,"51,265,844"
32,32,Uganda,56.12,"47,123,531"
33,33,Somalia,56.04,"16,359,504"
34,34,Mongolia,56.01,"3,329,289"
35,35,Tanzania,56,"61,498,437"
36,36,Maldives,55.34,"543,617"
37,37,Ecuador,55.23,"17,888,475"
38,38,Costa Rica,54.22,"5,139,052"
39,39,Mexico,54.19,"130,262,216"
40,40,Kazakhstan,53.77,"18,994,962"
41,41,Chile,53.42,"19,212,361"
42,42,Botswana,52.98,"2,397,241"
43,43,Algeria,52.03,"44,616,624"
44,44,France,51.99,"65,426,179"
45,45,Uruguay,51.73,"3,485,151"
46,46,Cambodia,51.13,"16,946,438"
47,47,Belize,50.39,"404,914"
48,48,Iran,49.38,"85,028,759"
49,49,Paraguay,49.37,"7,219,638"
50,50,Ethiopia,49.3,"117,876,227"
51,51,Mauritius,48.88,"1,273,433"
52,52,Morocco,48.66,"37,344,795"
53,53,Iraq,48.42,"41,179,350"
54,54,Sweden,48,"10,160,169"
55,55,Nicaragua,47.89,"6,702,385"
56,56,United States,47.81,"332,915,073"
57,57,Ukraine,47.42,"43,466,819"
58,58,Ghana,46.98,"31,732,129"
59,59,Egypt,46.83,"104,258,327"
60,60,Lebanon,46.77,"6,769,146"
61,61,Myanmar,46.51,"54,806,012"
62,62,Moldova,46.35,"4,024,019"
63,63,Vietnam,46.19,"98,168,833"
64,64,United Kingdom,46.07,"68,207,116"
65,65,Indonesia,45.93,"276,361,783"
66,66,Greece,45.85,"10,370,744"
67,67,Ireland,45.51,"4,982,907"
68,68,Panama,45.15,"4,381,579"
69,69,Italy,44.85,"60,367,477"
70,70,Belgium,44.58,"11,632,326"
71,71,India,44.43,"1,393,409,038"
72,72,Palestine,43.74,"5,222,748"
73,73,Tunisia,43.69,"11,935,766"
74,74,Zambia,43.62,"18,920,651"
75,75,Australia,43.03,"25,788,215"
76,76,Bosnia And Herzegovina,42.99,"3,263,466"
77,77,New Zealand,42.88,"4,860,643"
78,78,Albania,42.53,"2,872,933"
79,79,Pakistan,42.51,"225,199,937"
80,80,Philippines,42.46,"111,046,913"
81,81,Sudan,42.34,"44,909,353"
82,82,Canada,41.89,"38,067,903"
83,83,Sri Lanka,41.39,"21,497,310"
84,84,Montenegro,41.18,"628,053"
85,85,Malta,40.39,"442,784"
86,86,Russia,39.99,"145,912,025"
87,87,Jordan,39.96,"10,269,021"
88,88,Turkey,39.62,"85,042,738"
89,89,Thailand,39.35,"69,950,850"
90,90,North Macedonia,39.12,"2,082,658"
91,91,Latvia,38.77,"1,866,942"
92,92,Bulgaria,38.21,"6,896,663"
93,93,Serbia,38.1,"8,697,550"
94,95,Nepal,36.01,"29,674,920"
95,96,Germany,35.79,"83,900,473"
96,97,Hungary,34.36,"9,634,164"
97,98,Luxembourg,34.13,"634,814"
98,99,Norway,33.72,"5,465,630"
99,102,Lithuania,33.42,"2,689,862"
100,100,Kuwait,33.42,"4,328,550"
101,101,Uzbekistan,33.42,"33,935,763"
102,103,Spain,33.32,"46,745,216"
103,104,Azerbaijan,32.02,"10,223,342"
104,105,Israel,31.47,"8,789,774"
105,106,Cyprus,31.28,"1,215,584"
106,107,Poland,30.5,"37,797,005"
107,108,Slovakia,30.37,"5,460,721"
108,109,China,30.14,"1,444,216,107"
109,110,Portugal,29.91,"10,167,925"
110,111,Brunei,29,"441,532"
111,112,Cuba,28.33,"11,317,505"
112,113,Romania,28.3,"19,127,774"
113,114,Singapore,27.96,"5,896,686"
114,115,Finland,27.59,"5,548,360"
115,116,Netherlands,27.16,"17,173,099"
116,117,South Korea,26.68,"51,305,186"
117,118,Denmark,26.22,"5,813,298"
118,119,Bahrain,25.64,"1,748,296"
119,120,Austria,25.54,"9,043,070"
120,121,Czech Republic,25.52,"10,724,555"
121,122,Saudi Arabia,25.23,"35,340,683"
122,123,Rwanda,24.89,"13,276,513"
123,124,Croatia,24.59,"4,081,651"
124,125,Iceland,23.75,"343,353"
125,126,Estonia,23.71,"1,325,185"
126,127,Georgia,23.38,"3,979,765"
127,128,Armenia,22.79,"2,968,127"
128,129,Slovenia,22.28,"2,078,724"
129,130,Japan,22.19,"126,050,804"
130,131,Hong Kong,22,"7,552,810"
131,132,Switzerland,21.62,"8,715,494"
132,133,Oman,20.34,"5,223,375"
133,134,Isle of Man,19.25,"85,410"
134,135,Taiwan,15.46,"23,855,010"
135,136,United Arab Emirates,15.23,"9,991,089"
136,137,Qatar,12.13,"2,930,528"
